symbol,name,direction,baseStart,baseEnd,sessions,level,close,volume,avg,ratio,cap
"MU","Micron Technology, Inc.","Breakout","2026-08-18","2026-09-03",13,989.96,1016.59,35315341,27737551.2,1.2731960635371447,1150000000000
"SNDK","Sandisk Corporation","Breakout","2026-08-20","2026-09-03",11,1631.4,1740,16620637,13214890.05,1.257720415161532,254770000000
"LIN","Linde plc","Breakdown","2026-08-18","2026-09-03",13,477.71,477.57,2275206,1870187.7,1.2165655885770184,220150000000
"ORCL","Oracle Corporation","Breakout","2026-08-14","2026-09-03",15,156.77,158.78,26509716,22541770.25,1.1760263593317388,457360000000
"INTC","Intel Corporation","Breakout","2026-08-20","2026-09-03",11,93.7,95.8,97604231,96819343.45,1.0081067225001927,503380000000
